station_code,service_area_id
HAC2,1768fbc6-9746-4852-b776-066465fadb20
HAC2,1768fbc6-9746-4852-b776-066465fadb20
HAC3,0d1be5f0-c7aa-42e3-9696-6c515aca630a
HAC3,0d1be5f0-c7aa-42e3-9696-6c515aca630a
HAC5,c8e72889-8ef5-4306-bf78-e4d45f475d8a
HAC5,c8e72889-8ef5-4306-bf78-e4d45f475d8a
HAC5,c8e72889-8ef5-4306-bf78-e4d45f475d8a
HAC6,1cbad3e4-8afa-4f4f-8a30-0f5bb33dd78a
HAC6,1cbad3e4-8afa-4f4f-8a30-0f5bb33dd78a
HCB1,a55f8b91-ef0c-4585-8e1e-dd6a4030a344
HCB1,a55f8b91-ef0c-4585-8e1e-dd6a4030a344
HEJ2,1b4027c8-1ad1-419d-9e51-419e81e1bc39
HEJ2,1b4027c8-1ad1-419d-9e51-419e81e1bc39
HEJ3,bdf692ca-ee22-449e-925d-5459393fca64
HEJ3,bdf692ca-ee22-449e-925d-5459393fca64
HEJ4,c9077865-354e-4a1c-ae33-b4b7acb76f6b
HEJ4,c9077865-354e-4a1c-ae33-b4b7acb76f6b
HEJ7,9e4c0af0-d007-480b-a19f-8e139aba631f
HEJ7,9e4c0af0-d007-480b-a19f-8e139aba631f
HFK1,1bdaeaca-e6b0-49fd-9f4a-7f4305a222dd
HFK1,1bdaeaca-e6b0-49fd-9f4a-7f4305a222dd
HHK1,76271ed7-b732-42d0-8e5f-b72970ab1468
HHK1,76271ed7-b732-42d0-8e5f-b72970ab1468
HHY1,d77c11d5-62b0-4e3c-ba79-ea6a0af2836d
HHY1,d77c11d5-62b0-4e3c-ba79-ea6a0af2836d
HKN1,37fa691b-3599-4262-ba1b-76ff3af08c37
HKN1,37fa691b-3599-4262-ba1b-76ff3af08c37
HKN8,71f01dbb-891e-4498-84f8-284b04d20073
HKN8,71f01dbb-891e-4498-84f8-284b04d20073
HKN9,e768b345-261e-4d29-ae92-5ddff6e81ba0
HKN9,e768b345-261e-4d29-ae92-5ddff6e81ba0
HMG1,f19a7b92-b34b-427c-a222-d14d0b55385a
HMG1,f19a7b92-b34b-427c-a222-d14d0b55385a
HMG1,f19a7b92-b34b-427c-a222-d14d0b55385a
HMG2,0dc186fc-147b-46c1-8520-a2cfabef417f
HMG2,0dc186fc-147b-46c1-8520-a2cfabef417f
HMJ1,4b819f1f-a705-42f3-949e-dd540883f80a
HMJ1,4b819f1f-a705-42f3-949e-dd540883f80a
HMJ3,15a9327d-c97e-451d-9d4b-feb45a034238
HMJ3,15a9327d-c97e-451d-9d4b-feb45a034238
HST2,3c50a309-d0ab-4433-b263-a9c9d695e069
HST2,3c50a309-d0ab-4433-b263-a9c9d695e069
HST4,9123d2e1-7a65-4b33-9a75-dec3ec4a8b9e
HST4,9123d2e1-7a65-4b33-9a75-dec3ec4a8b9e
HST6,fdb8e528-c886-4988-ad75-5dce9fcc0466
HST6,fdb8e528-c886-4988-ad75-5dce9fcc0466
HST8,824629e9-1d04-490d-a96b-f804f20d2e81
HST8,824629e9-1d04-490d-a96b-f804f20d2e81
HTY4,3cb72607-0a84-4d56-84ce-6890c2f81ebf
HTY4,3cb72607-0a84-4d56-84ce-6890c2f81ebf
HTY4,3cb72607-0a84-4d56-84ce-6890c2f81ebf
HTY4,3cb72607-0a84-4d56-84ce-6890c2f81ebf
HTY9,d09bb00d-9573-4a5d-8da0-ea87bbcc3ab0
HTY9,d09bb00d-9573-4a5d-8da0-ea87bbcc3ab0
HTY9,d09bb00d-9573-4a5d-8da0-ea87bbcc3ab0
HTY9,d09bb00d-9573-4a5d-8da0-ea87bbcc3ab0
HWJ1,3d49dc24-f1a5-4e54-afee-72df4ce6cb82
HWJ1,3d49dc24-f1a5-4e54-afee-72df4ce6cb82
HWJ2,9d894a6c-a662-4408-93d8-15084e931f85
HWJ2,9d894a6c-a662-4408-93d8-15084e931f85
HWJ5,a5db38ae-fd98-4e65-a1bb-8a95238db833
HWJ5,a5db38ae-fd98-4e65-a1bb-8a95238db833
DCJ1,94a4cdee-bfc8-4347-8bee-2df0295f0910
DCJ1,94a4cdee-bfc8-4347-8bee-2df0295f0910
DCJ1,94a4cdee-bfc8-4347-8bee-2df0295f0910
DCJ1,94a4cdee-bfc8-4347-8bee-2df0295f0910
DCJ1,94a4cdee-bfc8-4347-8bee-2df0295f0910
OCJ1,3f927836-fa6e-499a-b653-bccc904f1bf5
OCJ1,3f927836-fa6e-499a-b653-bccc904f1bf5
OCJ2,d0335ca8-4629-4968-a456-198f6f8788c3
OCJ2,d0335ca8-4629-4968-a456-198f6f8788c3
OCJ3,ff86ad37-2dd7-4a46-9f09-d8ca77df800f
OCJ3,ff86ad37-2dd7-4a46-9f09-d8ca77df800f
OCJ4,819fae7a-cb02-44c2-a66b-6dfa0e502e8f
OCJ4,819fae7a-cb02-44c2-a66b-6dfa0e502e8f
OWJO,d53b4a2b-cf28-4f7e-b927-fea3009b1921
OWJO,d53b4a2b-cf28-4f7e-b927-fea3009b1921
PCJ2,75d6782a-f9f6-4558-b13a-e71720733bbb
DOO1,3f2f0269-4515-46b9-b6cb-17a21efee7c2
DOO1,3f2f0269-4515-46b9-b6cb-17a21efee7c2
DOO1,3f2f0269-4515-46b9-b6cb-17a21efee7c2
DOO1,3f2f0269-4515-46b9-b6cb-17a21efee7c2
OOOF,38ec882d-2122-4e12-90b6-2900d6cb3fb1
OOOF,38ec882d-2122-4e12-90b6-2900d6cb3fb1
OOOJ,e7da3285-4883-4bd0-a0cc-7a946e1f1090
OOOJ,e7da3285-4883-4bd0-a0cc-7a946e1f1090
OWJK,f361d472-8cca-4e5f-94aa-e2547c90660f
OWJK,f361d472-8cca-4e5f-94aa-e2547c90660f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
DOO2,15b5584e-1c8d-463f-8a4a-bd2363bba18f
OOOD,d3e3ce19-5c73-4bca-b063-88b462896df8
OOOD,d3e3ce19-5c73-4bca-b063-88b462896df8
OOOL,418e2c8e-d21c-4965-ad08-ef242173d98d
OOOL,418e2c8e-d21c-4965-ad08-ef242173d98d
DOO3,cc56da96-1cf0-4e9d-ab9b-e0a24613803f
DOO3,cc56da96-1cf0-4e9d-ab9b-e0a24613803f
DOO3,cc56da96-1cf0-4e9d-ab9b-e0a24613803f
DOO3,cc56da96-1cf0-4e9d-ab9b-e0a24613803f
OOOM,e74b1813-6749-46e8-8a03-2e78bb88af8e
OOOM,e74b1813-6749-46e8-8a03-2e78bb88af8e
OOOS,e43f00ca-06f9-4ee2-b8d5-58a10c4cfbed
OOOS,e43f00ca-06f9-4ee2-b8d5-58a10c4cfbed
DOO4,786f02db-9c33-45be-9fee-067dde027e93
DOO4,786f02db-9c33-45be-9fee-067dde027e93
DOO4,786f02db-9c33-45be-9fee-067dde027e93
DOO4,786f02db-9c33-45be-9fee-067dde027e93
DOO4,786f02db-9c33-45be-9fee-067dde027e93
OWJ2,d3b50969-1d2c-43e7-a4d3-3fbc281d1e92
OWJ2,d3b50969-1d2c-43e7-a4d3-3fbc281d1e92
OWJ3,ab43a126-00a0-45eb-8bba-d7b3f7edc378
OWJ3,ab43a126-00a0-45eb-8bba-d7b3f7edc378
OWJ4,5f91f814-52ce-492d-9202-2bdf9c05a753
OWJ4,5f91f814-52ce-492d-9202-2bdf9c05a753
OWJD,b9e93b39-59d8-4815-8e14-84e229a4913d
OWJD,b9e93b39-59d8-4815-8e14-84e229a4913d
OWJE,90d9544c-d1f5-4065-a0b5-7822f6038f07
OWJE,90d9544c-d1f5-4065-a0b5-7822f6038f07
OWJE,90d9544c-d1f5-4065-a0b5-7822f6038f07
OWJE,90d9544c-d1f5-4065-a0b5-7822f6038f07
OWJP,58b5a3e0-11fb-494a-9f54-9dc88d70cc19
OWJP,58b5a3e0-11fb-494a-9f54-9dc88d70cc19
OWJP,58b5a3e0-11fb-494a-9f54-9dc88d70cc19
JLB3,93cadf83-9c79-4888-9b33-17b47378b577
JLB3,93cadf83-9c79-4888-9b33-17b47378b577
JLB7,37c4e595-a471-41c4-9ea4-648558981796
JLB7,37c4e595-a471-41c4-9ea4-648558981796
JLC1,de22bc32-1b96-40e9-ac20-0f8b0fd6fcb4
JLC1,de22bc32-1b96-40e9-ac20-0f8b0fd6fcb4
JLC7,9e7ce4d8-599a-44fb-8d9e-d69346ff933c
JLC7,9e7ce4d8-599a-44fb-8d9e-d69346ff933c
JLD9,0b241e4a-1858-4278-bcf0-f492c4e87199
JLD9,0b241e4a-1858-4278-bcf0-f492c4e87199
DEJ5,ca982ae8-45ca-4735-b439-c29bd2b9bd21
DEJ5,ca982ae8-45ca-4735-b439-c29bd2b9bd21
DEJ5,ca982ae8-45ca-4735-b439-c29bd2b9bd21
DEJ5,ca982ae8-45ca-4735-b439-c29bd2b9bd21
DEJ5,ca982ae8-45ca-4735-b439-c29bd2b9bd21
DEJ5,ca982ae8-45ca-4735-b439-c29bd2b9bd21
DEJ8,0cb2d63a-fea4-4267-9e74-c4317bdbdfb3
DEJ8,0cb2d63a-fea4-4267-9e74-c4317bdbdfb3
DEJ8,0cb2d63a-fea4-4267-9e74-c4317bdbdfb3
DEJ8,0cb2d63a-fea4-4267-9e74-c4317bdbdfb3
DEJ8,0cb2d63a-fea4-4267-9e74-c4317bdbdfb3
PEJ1,468c4eaf-f67e-4aef-b164-117cd4be1d6a
PEJ1,468c4eaf-f67e-4aef-b164-117cd4be1d6a
PEJ2,93bdf769-7057-4d56-8dfa-2b69864c04a6
PEJ2,93bdf769-7057-4d56-8dfa-2b69864c04a6
PEJ3,2eb5db5e-778f-49ec-a51a-db12c195ea90
PEJ3,2eb5db5e-778f-49ec-a51a-db12c195ea90
PEJ4,a3c360cc-ce30-48cc-9744-73071d9c39f8
PEJ4,a3c360cc-ce30-48cc-9744-73071d9c39f8
PEJ5,4a435088-5ac4-4018-ac82-7e01f9c57197
PEJ5,4a435088-5ac4-4018-ac82-7e01f9c57197
DKJ1,b05651e7-a12f-4469-9479-163ebb25779e
DKJ1,b05651e7-a12f-4469-9479-163ebb25779e
DKJ1,b05651e7-a12f-4469-9479-163ebb25779e
DKJ1,b05651e7-a12f-4469-9479-163ebb25779e
DKJ1,b05651e7-a12f-4469-9479-163ebb25779e
